customer_id,first_name,last_name,email,phone,city,state,country,registration_date,age,gender,customer_segment,loyalty_points,is_email_verified
CUST00025,Michael,Williams,user25@yahoo.com,+1-485-573-5092,Phoenix,AZ,USA,2023-11-28,46.0,Male,B2C,3630,True
CUST00026,James,Johnson,user26@outlook.com,+1-971-969-4872,Denver,CO,USA,2022-03-20,40.0,Female,B2C,3329,False
CUST00027,Michael,Smith,user27@gmail.com,+1-368-488-1035,San Antonio,TX,USA,2024-01-18,36.0,Prefer not to say,B2C,2172,False
CUST00028,Elizabeth,Taylor,user28@yahoo.com,+1-769-777-8973,Columbus,OH,USA,2023-03-20,34.0,,B2C,1555,True
CUST00029,Barbara,Taylor,user29@outlook.com,+1-755-162-6138,Los Angeles,CA,USA,2022-12-05,32.0,Male,B2C,410,False
CUST00030,John,Smith,user30@gmail.com,+1-720-182-4044,Seattle,WA,USA,2024-02-21,,Male,B2C,4874,True
CUST00031,Mary,Martinez,user31@yahoo.com,+1-452-692-1651,Fort Worth,TX,USA,2023-01-01,41.0,Male,B2C,3434,True
CUST00032,David,Taylor,user32@outlook.com,+1-521-344-5351,San Antonio,TX,USA,2023-02-10,33.0,Prefer not to say,Wholesale,1072,True
CUST00033,Mary,Smith,user33@gmail.com,+1-669-736-2638,Austin,TX,USA,2023-12-12,29.0,Male,B2C,4404,True
CUST00034,John,Garcia,user34@yahoo.com,+1-270-350-7054,Dallas,TX,USA,2024-02-25,45.0,Non-binary,B2B,1292,False
CUST00035,David,Wilson,user35@outlook.com,+1-208-783-5905,Nashville,TN,USA,2023-04-15,50.0,Male,B2B,1100,True
CUST00036,Elizabeth,Wilson,user36@gmail.com,+1-359-378-5616,Houston,TX,USA,2022-06-29,49.0,Female,B2C,2808,True
CUST00037,Linda,Jones,user37@yahoo.com,+1-252-194-7939,Seattle,WA,USA,2023-02-15,27.0,Non-binary,B2B,361,True
CUST00038,David,Jones,user38@outlook.com,+1-365-859-8239,Phoenix,AZ,USA,2023-06-03,34.0,Prefer not to say,B2C,4594,True
CUST00039,Elizabeth,Williams,user39@gmail.com,+1-758-136-7049,Chicago,IL,USA,2022-06-23,32.0,Female,B2C,3520,True
CUST00040,Jennifer,Smith,user40@yahoo.com,+1-566-315-5088,San Jose,CA,USA,2022-03-06,35.0,Male,B2C,2897,False
CUST00041,John,Williams,user41@outlook.com,+1-622-125-3938,San Diego,CA,USA,2022-08-29,47.0,Non-binary,B2B,3372,True
CUST00042,Elizabeth,Johnson,user42@gmail.com,+1-591-993-1634,Philadelphia,PA,USA,2023-02-19,54.0,Prefer not to say,B2C,1822,True
CUST00043,Robert,Brown,user43@yahoo.com,,Jacksonville,FL,USA,2023-12-17,42.0,Prefer not to say,B2B,2689,True
CUST00044,Jennifer,Anderson,user44@outlook.com,+1-721-509-9785,Dallas,TX,USA,2022-04-18,30.0,Non-binary,B2C,226,True
CUST00045,Barbara,Jones,user45@gmail.com,+1-239-211-8119,Philadelphia,PA,USA,2023-02-10,37.0,Non-binary,B2C,2569,False
CUST00046,Barbara,Brown,user46@yahoo.com,+1-460-145-8144,Fort Worth,TX,USA,2022-06-29,56.0,Male,B2C,4259,True
CUST00047,Mary,Anderson,user47@outlook.com,+1-538-738-6143,Columbus,OH,USA,2023-07-20,39.0,Male,B2C,2460,True
CUST00048,Michael,Taylor,user48@gmail.com,,Austin,TX,USA,2023-09-27,34.0,Female,B2C,3444,False
CUST00049,Barbara,Jones,user49@yahoo.com,+1-615-661-1006,Nashville,TN,USA,2022-09-28,35.0,Non-binary,B2C,2350,True
CUST00050,Barbara,Anderson,user50@outlook.com,+1-529-576-8238,Washington,DC,USA,2023-10-30,,Prefer not to say,B2B,1750,False
CUST00051,Robert,Wilson,user51@gmail.com,+1-879-748-6491,Chicago,IL,USA,2022-09-21,28.0,Male,B2B,1924,True
CUST00052,John,Smith,user52@yahoo.com,+1-247-350-8784,San Antonio,TX,USA,2022-12-15,31.0,Male,B2B,3730,False
CUST00053,Linda,Miller,user53@outlook.com,+1-449-251-1090,Fort Worth,TX,USA,2022-10-30,48.0,Male,B2B,3482,True
CUST00054,Linda,Smith,user54@gmail.com,+1-770-355-2988,Seattle,WA,USA,2022-10-01,41.0,Prefer not to say,B2C,1092,False
CUST00055,Barbara,Taylor,user55@yahoo.com,+1-716-536-9976,Charlotte,NC,USA,2023-05-08,39.0,Prefer not to say,B2B,1303,False
CUST00056,Patricia,Anderson,user56@outlook.com,+1-483-884-9540,Dallas,TX,USA,2023-12-01,49.0,Prefer not to say,B2B,1959,True
CUST00057,Elizabeth,Jones,user57@gmail.com,+1-440-378-6502,Chicago,IL,USA,2023-11-15,29.0,Non-binary,B2C,4424,True
CUST00058,Patricia,Miller,user58@yahoo.com,+1-910-256-4505,Phoenix,AZ,USA,2022-08-03,34.0,Male,B2C,3398,False
CUST00059,Linda,Miller,user59@outlook.com,+1-263-311-7883,Denver,CO,USA,2023-05-30,41.0,Prefer not to say,B2C,4784,True
CUST00060,James,Garcia,user60@gmail.com,+1-505-871-7389,Indianapolis,IN,USA,2023-08-14,41.0,Prefer not to say,B2C,4409,True
CUST00061,Robert,Miller,user61@yahoo.com,+1-697-129-7371,San Diego,CA,USA,2024-01-29,21.0,Non-binary,B2C,3312,True
CUST00062,Barbara,Wilson,user62@outlook.com,+1-227-503-1444,Phoenix,AZ,USA,2023-12-28,32.0,Male,B2C,3511,True
CUST00063,James,Jones,user63@gmail.com,+1-588-435-4467,Philadelphia,PA,USA,2023-12-19,36.0,Prefer not to say,B2C,2677,True
CUST00064,Michael,Jones,user64@yahoo.com,+1-283-581-1317,Dallas,TX,USA,2023-08-12,42.0,Male,B2C,2866,True
CUST00065,James,Brown,user65@outlook.com,+1-404-959-1333,Los Angeles,CA,USA,2022-04-17,41.0,Female,Wholesale,1954,True
CUST00066,Barbara,Brown,user66@gmail.com,+1-676-816-5198,Houston,TX,USA,2024-01-06,37.0,Non-binary,B2C,1374,True
CUST00067,Mary,Martinez,user67@yahoo.com,+1-226-419-7149,San Jose,CA,USA,2022-09-12,18.0,Prefer not to say,B2C,1624,True
CUST00068,Elizabeth,Jones,user68@outlook.com,+1-900-714-2983,Houston,TX,USA,2023-01-13,,Male,B2C,2844,False
CUST00069,William,Anderson,user69@gmail.com,+1-549-112-7882,Chicago,IL,USA,2023-07-30,38.0,Prefer not to say,B2C,864,False
CUST00070,Elizabeth,Williams,user70@yahoo.com,+1-645-280-9548,Charlotte,NC,USA,2023-07-17,67.0,Non-binary,B2C,4408,False
CUST00071,Elizabeth,Martinez,user71@outlook.com,+1-474-430-5022,Columbus,OH,USA,2023-12-24,35.0,Male,B2C,2284,False
CUST00072,Barbara,Martinez,user72@gmail.com,+1-884-488-6511,Charlotte,NC,USA,2023-01-14,41.0,Male,B2C,4049,True
CUST00073,Patricia,Garcia,user73@yahoo.com,+1-464-448-5581,Indianapolis,IN,USA,2022-10-10,51.0,Non-binary,B2C,4553,True
CUST00074,Patricia,Taylor,user74@outlook.com,+1-616-600-4937,Chicago,IL,USA,2022-10-24,47.0,Prefer not to say,B2C,4020,False
CUST00075,Robert,Brown,user75@gmail.com,+1-614-808-4986,Chicago,IL,USA,2022-01-27,54.0,Non-binary,B2C,4764,True
CUST00076,William,Garcia,user76@yahoo.com,+1-635-863-6419,Denver,CO,USA,2024-01-06,21.0,Non-binary,B2C,3717,True
CUST00077,Patricia,Johnson,user77@outlook.com,+1-938-297-6169,Dallas,TX,USA,2023-04-22,26.0,Male,B2C,4389,True
CUST00078,Elizabeth,Davis,user78@gmail.com,+1-483-841-9595,San Antonio,TX,USA,2022-10-25,31.0,Non-binary,B2C,823,True
CUST00079,Jennifer,Williams,user79@yahoo.com,+1-509-114-9751,San Diego,CA,USA,2023-04-06,19.0,Female,B2C,2247,True
CUST00080,Robert,Taylor,user80@outlook.com,+1-329-753-9042,Denver,CO,USA,2022-03-26,38.0,Male,B2C,100,True
CUST00081,Linda,Garcia,user81@gmail.com,+1-388-152-5136,Indianapolis,IN,USA,2023-12-31,26.0,Prefer not to say,Wholesale,934,True
CUST00082,Mary,Martinez,user82@yahoo.com,+1-844-802-1878,Indianapolis,IN,USA,2023-09-15,56.0,Female,B2C,1222,True
CUST00083,Mary,Wilson,user83@outlook.com,+1-982-526-4697,San Diego,CA,USA,2022-05-13,28.0,Prefer not to say,B2B,3690,False
CUST00084,Michael,Jones,user84@gmail.com,+1-782-735-1986,Washington,DC,USA,2023-04-07,34.0,Male,B2B,1702,True
CUST00085,John,Brown,user85@yahoo.com,+1-377-665-2229,Chicago,IL,USA,2023-02-16,47.0,Female,B2B,21,False
CUST00086,Linda,Jones,user86@outlook.com,+1-233-337-5720,Nashville,TN,USA,2023-12-01,23.0,Non-binary,B2C,3719,True
CUST00087,David,Martinez,user87@gmail.com,+1-877-923-4241,Dallas,TX,USA,2022-12-29,18.0,Prefer not to say,B2C,940,True
CUST00088,John,Johnson,user88@yahoo.com,+1-261-269-6039,Dallas,TX,USA,2022-08-20,40.0,,B2B,3597,True
CUST00089,Elizabeth,Miller,user89@outlook.com,+1-478-612-9847,San Jose,CA,USA,2023-12-30,41.0,Prefer not to say,B2C,3586,True
CUST00090,Elizabeth,Garcia,user90@gmail.com,+1-818-356-1423,Columbus,OH,USA,2022-03-03,47.0,Male,B2C,1875,True
CUST00091,James,Williams,user91@yahoo.com,+1-681-631-8245,Washington,DC,USA,2023-02-23,44.0,Non-binary,B2B,1486,False
CUST00092,Linda,Garcia,user92@outlook.com,+1-618-441-6260,Chicago,IL,USA,2024-02-03,41.0,Male,B2B,1317,True
CUST00093,Robert,Anderson,user93@gmail.com,+1-610-933-1601,Indianapolis,IN,USA,2023-10-02,29.0,Prefer not to say,B2C,721,True
CUST00094,Mary,Miller,user94@yahoo.com,+1-726-944-1018,Austin,TX,USA,2023-01-28,40.0,Prefer not to say,B2B,3385,True
CUST00095,Jennifer,Martinez,user95@outlook.com,+1-974-610-8242,Seattle,WA,USA,2022-10-19,41.0,Male,B2C,1667,True
CUST00096,Linda,Taylor,user96@gmail.com,+1-696-224-1472,San Jose,CA,USA,2022-07-23,29.0,Female,B2C,1297,True
CUST00097,Michael,Johnson,user97@yahoo.com,+1-430-961-2858,Denver,CO,USA,2022-01-22,60.0,Prefer not to say,B2C,962,True
CUST00098,William,Taylor,user98@outlook.com,+1-479-525-8905,San Jose,CA,USA,2024-02-14,43.0,Prefer not to say,B2C,1996,False
CUST00099,Patricia,Martinez,user99@gmail.com,+1-720-864-3236,Fort Worth,TX,USA,2022-08-13,26.0,Male,B2C,2263,False
CUST00100,Robert,Smith,user100@yahoo.com,+1-489-843-5891,Seattle,WA,USA,2023-06-12,47.0,Prefer not to say,B2C,1217,False
CUST00101,Jennifer,Wilson,user101@outlook.com,+1-981-656-7180,Jacksonville,FL,USA,2024-01-23,49.0,Prefer not to say,B2C,2636,True
CUST00102,Michael,Brown,user102@gmail.com,+1-994-520-1715,Washington,DC,USA,2023-01-06,42.0,Non-binary,B2C,3874,False
CUST00103,Linda,Smith,user103@yahoo.com,+1-329-614-6439,Phoenix,AZ,USA,2023-08-23,35.0,Male,B2C,3606,True
CUST00104,Elizabeth,Williams,user104@outlook.com,+1-619-991-3529,New York,NY,USA,2023-12-11,28.0,Male,B2C,3846,True
CUST00105,Elizabeth,Miller,user105@gmail.com,+1-865-182-6383,Nashville,TN,USA,2023-06-10,37.0,Prefer not to say,B2B,2594,False
CUST00106,Mary,Brown,user106@yahoo.com,+1-846-800-5708,Nashville,TN,USA,2022-02-25,42.0,Female,B2C,740,False
CUST00107,Linda,Williams,user107@outlook.com,+1-910-406-1474,Houston,TX,USA,2022-06-02,38.0,Male,B2C,2657,True
CUST00108,Jennifer,Miller,user108@gmail.com,+1-349-350-9702,Jacksonville,FL,USA,2023-04-01,55.0,Prefer not to say,B2C,4636,True
CUST00109,Mary,Martinez,user109@yahoo.com,+1-591-734-4945,Philadelphia,PA,USA,2022-09-22,45.0,Prefer not to say,B2C,4777,True
CUST00110,David,Jones,user110@outlook.com,+1-670-361-1153,Charlotte,NC,USA,2022-12-27,27.0,Prefer not to say,B2C,2356,True
CUST00111,Jennifer,Martinez,user111@gmail.com,+1-506-754-7951,Charlotte,NC,USA,2022-04-25,25.0,Non-binary,Wholesale,3742,True
CUST00112,Linda,Johnson,user112@yahoo.com,+1-442-490-6881,Fort Worth,TX,USA,2022-11-06,43.0,Non-binary,Wholesale,2418,True
CUST00113,James,Martinez,user113@outlook.com,+1-902-896-1803,Dallas,TX,USA,2023-09-07,35.0,Prefer not to say,B2C,2344,True
CUST00114,David,Brown,user114@gmail.com,+1-835-356-3240,San Diego,CA,USA,2023-07-02,46.0,Male,B2B,322,True
CUST00115,Barbara,Garcia,user115@yahoo.com,+1-949-234-2476,Los Angeles,CA,USA,2023-11-16,43.0,,Wholesale,2676,False
CUST00116,John,Wilson,user116@outlook.com,+1-574-643-9221,San Antonio,TX,USA,2022-09-30,37.0,Non-binary,B2B,1347,True
CUST00117,Elizabeth,Garcia,user117@gmail.com,+1-317-579-2233,San Jose,CA,USA,2024-01-19,27.0,Female,B2B,1848,False
CUST00118,Michael,Smith,user118@yahoo.com,+1-470-649-3024,Chicago,IL,USA,2023-07-23,19.0,Prefer not to say,B2C,3019,True
CUST00119,Mary,Anderson,user119@outlook.com,+1-439-582-1410,Jacksonville,FL,USA,2023-08-15,40.0,Non-binary,Wholesale,4997,True
CUST00120,Elizabeth,Jones,user120@gmail.com,+1-864-518-2911,Charlotte,NC,USA,2022-04-09,23.0,Female,B2C,371,True
CUST00121,Mary,Johnson,user121@yahoo.com,+1-440-650-3222,Indianapolis,IN,USA,2023-04-18,27.0,,B2C,3716,True
CUST00122,Elizabeth,Taylor,user122@outlook.com,+1-358-524-2622,Washington,DC,USA,2023-10-14,39.0,Prefer not to say,Wholesale,3343,True
CUST00123,Patricia,Davis,user123@gmail.com,+1-655-341-6942,Jacksonville,FL,USA,2022-02-20,38.0,Male,B2B,3009,True
CUST00124,Robert,Brown,user124@yahoo.com,+1-325-968-8450,Fort Worth,TX,USA,2022-04-05,24.0,Male,B2C,1737,True
CUST00125,Patricia,Williams,user125@outlook.com,+1-778-310-2124,Austin,TX,USA,2022-03-20,50.0,Female,B2C,4803,True
CUST00126,John,Martinez,user126@gmail.com,+1-202-383-3370,Austin,TX,USA,2022-12-28,50.0,Female,B2C,4425,True
CUST00127,David,Smith,user127@yahoo.com,+1-334-115-6869,Houston,TX,USA,2022-09-29,44.0,Female,B2B,4823,True
CUST00128,Robert,Smith,user128@outlook.com,+1-329-859-7897,Philadelphia,PA,USA,2022-01-25,44.0,Male,B2B,520,False
CUST00129,William,Martinez,user129@gmail.com,+1-311-562-9254,Jacksonville,FL,USA,2023-11-28,44.0,Female,B2B,355,True
CUST00130,James,Davis,user130@yahoo.com,+1-611-536-2768,New York,NY,USA,2023-12-13,80.0,Prefer not to say,B2C,3633,True
CUST00131,Barbara,Williams,user131@outlook.com,+1-267-229-5505,Austin,TX,USA,2022-05-06,49.0,Non-binary,B2B,3120,True
CUST00132,Barbara,Miller,user132@gmail.com,+1-301-912-2874,Seattle,WA,USA,2023-12-06,45.0,Female,B2C,3523,False
CUST00133,Jennifer,Davis,user133@yahoo.com,+1-608-525-2557,Columbus,OH,USA,2022-12-21,28.0,Non-binary,B2C,3496,True
CUST00134,John,Anderson,user134@outlook.com,+1-685-168-2494,Jacksonville,FL,USA,2023-01-31,35.0,Male,B2C,763,False
CUST00135,John,Wilson,user135@gmail.com,+1-261-700-6400,Jacksonville,FL,USA,2022-05-31,65.0,Male,B2C,3365,True
CUST00136,Robert,Martinez,user136@yahoo.com,+1-519-460-2697,Los Angeles,CA,USA,2023-10-20,18.0,Female,B2C,1267,False
CUST00137,Jennifer,Wilson,user137@outlook.com,+1-576-217-5564,Houston,TX,USA,2022-12-15,32.0,Female,B2C,3515,True
CUST00138,John,Jones,user138@gmail.com,+1-919-880-6062,New York,NY,USA,2023-02-20,51.0,Non-binary,B2C,2875,True
CUST00139,Barbara,Anderson,user139@yahoo.com,+1-610-171-3324,Phoenix,AZ,USA,2022-10-09,29.0,Male,B2C,751,True
CUST00140,Linda,Garcia,user140@outlook.com,+1-361-478-6105,Columbus,OH,USA,2023-08-08,46.0,Non-binary,B2C,4649,True
CUST00141,John,Martinez,user141@gmail.com,+1-250-790-2336,Phoenix,AZ,USA,2022-03-23,38.0,Non-binary,B2C,3629,False
CUST00142,Linda,Miller,user142@yahoo.com,+1-479-320-9394,Nashville,TN,USA,2024-01-25,30.0,Male,B2C,2827,False
CUST00143,David,Anderson,user143@outlook.com,+1-807-598-9633,San Jose,CA,USA,2022-06-22,18.0,Non-binary,B2B,372,True
CUST00144,James,Smith,user144@gmail.com,+1-409-408-4460,Nashville,TN,USA,2023-09-07,40.0,Female,B2C,2093,True
CUST00145,James,Davis,user145@yahoo.com,+1-964-540-3878,Houston,TX,USA,2023-05-25,28.0,Female,B2C,3114,True
CUST00146,David,Garcia,user146@outlook.com,+1-273-506-1693,Denver,CO,USA,2024-02-17,36.0,Prefer not to say,Wholesale,153,False
CUST00147,Barbara,Miller,user147@gmail.com,+1-787-514-7843,Austin,TX,USA,2022-05-01,44.0,Non-binary,B2C,943,False
CUST00148,John,Martinez,user148@yahoo.com,+1-671-951-6928,Austin,TX,USA,2022-02-02,48.0,Male,B2C,3577,True
CUST00149,Barbara,Miller,user149@outlook.com,+1-736-180-7484,Columbus,OH,USA,2023-01-13,32.0,Non-binary,B2C,2781,True
CUST00150,Mary,Wilson,user150@gmail.com,+1-848-216-9693,Philadelphia,PA,USA,2023-06-02,30.0,Female,B2C,2862,True
CUST00151,Mary,Williams,user151@yahoo.com,+1-462-302-3842,San Diego,CA,USA,2022-08-18,22.0,Female,Wholesale,617,True
CUST00152,Barbara,Martinez,user152@outlook.com,+1-659-797-6295,Charlotte,NC,USA,2024-02-07,49.0,Non-binary,B2C,1236,False
CUST00153,Linda,Anderson,user153@gmail.com,+1-510-915-5500,Indianapolis,IN,USA,2022-04-17,63.0,Male,B2C,2883,True
CUST00154,Linda,Smith,user154@yahoo.com,+1-258-477-5703,Charlotte,NC,USA,2023-04-28,50.0,Male,B2C,739,False
CUST00155,William,Taylor,user155@outlook.com,+1-242-560-4084,Washington,DC,USA,2023-12-20,53.0,Non-binary,B2C,4956,False
CUST00156,James,Davis,user156@gmail.com,+1-305-930-6626,Phoenix,AZ,USA,2024-02-18,29.0,Male,B2C,4133,True
CUST00157,Elizabeth,Davis,user157@yahoo.com,+1-649-636-9564,San Diego,CA,USA,2022-03-02,43.0,Female,B2C,2981,True
CUST00158,Michael,Garcia,user158@outlook.com,+1-895-712-1857,Fort Worth,TX,USA,2023-03-16,47.0,Non-binary,B2C,539,True
CUST00159,David,Miller,user159@gmail.com,+1-490-358-3463,Denver,CO,USA,2022-05-27,18.0,Non-binary,B2C,667,True
CUST00160,David,Taylor,user160@yahoo.com,+1-878-501-3112,San Jose,CA,USA,2023-06-28,25.0,Male,B2C,2536,False
CUST00161,David,Taylor,user161@outlook.com,+1-956-801-9624,Phoenix,AZ,USA,2023-05-26,57.0,Male,B2C,3468,True
CUST00162,Robert,Williams,user162@gmail.com,+1-419-449-8967,Jacksonville,FL,USA,2022-01-29,20.0,Female,B2C,1855,True
CUST00163,Robert,Johnson,user163@yahoo.com,+1-719-889-9843,Chicago,IL,USA,2022-08-29,55.0,Male,B2C,2758,True
CUST00164,John,Williams,user164@outlook.com,+1-909-889-3712,Phoenix,AZ,USA,2023-08-09,20.0,Prefer not to say,B2B,357,False
CUST00165,Linda,Martinez,user165@gmail.com,+1-491-870-8355,San Diego,CA,USA,2023-07-20,26.0,Female,B2C,4374,True
CUST00166,Patricia,Garcia,user166@yahoo.com,+1-894-684-8218,Indianapolis,IN,USA,2023-04-26,43.0,Prefer not to say,B2C,2308,False
CUST00167,Michael,Williams,user167@outlook.com,+1-404-920-3267,Seattle,WA,USA,2024-02-21,38.0,Non-binary,Wholesale,427,False
CUST00168,Mary,Taylor,user168@gmail.com,+1-728-971-3042,Denver,CO,USA,2023-07-31,33.0,Non-binary,B2C,687,True
CUST00169,William,Williams,user169@yahoo.com,+1-647-193-4637,Charlotte,NC,USA,2023-02-28,57.0,Prefer not to say,B2C,2863,True
CUST00170,Michael,Wilson,user170@outlook.com,+1-582-341-7326,Los Angeles,CA,USA,2023-10-07,23.0,Male,B2C,3071,True
CUST00171,Mary,Taylor,user171@gmail.com,+1-865-443-3392,Austin,TX,USA,2022-02-13,36.0,Female,Wholesale,313,True
CUST00172,Elizabeth,Davis,user172@yahoo.com,+1-659-730-1086,Phoenix,AZ,USA,2024-01-04,45.0,Male,B2B,155,True
CUST00173,William,Taylor,user173@outlook.com,+1-823-640-7934,Phoenix,AZ,USA,2022-12-02,41.0,Male,B2C,2360,True
CUST00174,James,Brown,user174@gmail.com,+1-629-754-8489,Houston,TX,USA,2023-04-13,30.0,Male,B2C,908,False
CUST00175,Barbara,Brown,user175@yahoo.com,+1-935-247-5772,Seattle,WA,USA,2022-01-26,30.0,Prefer not to say,B2C,12,True
CUST00176,Michael,Williams,user176@outlook.com,+1-880-784-2402,Washington,DC,USA,2023-01-09,48.0,Non-binary,B2C,554,True
CUST00177,James,Anderson,user177@gmail.com,+1-596-482-5155,Indianapolis,IN,USA,2023-08-30,48.0,,B2C,2925,True
CUST00178,Elizabeth,Anderson,user178@yahoo.com,+1-843-206-6447,San Diego,CA,USA,2023-06-20,41.0,Female,B2B,363,True
CUST00179,David,Davis,user179@outlook.com,+1-912-590-3986,Philadelphia,PA,USA,2023-06-10,28.0,Female,B2B,516,False
CUST00180,Patricia,Smith,user180@gmail.com,+1-404-142-6170,San Jose,CA,USA,2022-02-27,31.0,Non-binary,B2B,4222,False
CUST00181,James,Anderson,user181@yahoo.com,+1-395-392-6848,Dallas,TX,USA,2024-01-06,37.0,Male,B2C,2719,True
CUST00182,Michael,Miller,user182@outlook.com,+1-961-550-7334,Jacksonville,FL,USA,2022-07-13,,Non-binary,B2B,1530,False
CUST00183,William,Jones,user183@gmail.com,+1-284-844-7955,Jacksonville,FL,USA,2024-02-12,44.0,Male,B2B,3527,True
CUST00184,Mary,Johnson,user184@yahoo.com,,Austin,TX,USA,2023-04-02,35.0,Non-binary,B2C,3652,False
CUST00185,Jennifer,Davis,user185@outlook.com,+1-243-844-6776,Charlotte,NC,USA,2022-09-16,47.0,Prefer not to say,B2C,2249,True
CUST00186,Jennifer,Wilson,user186@gmail.com,+1-967-795-3621,Fort Worth,TX,USA,2022-04-27,47.0,Male,B2B,1169,False
CUST00187,Mary,Brown,user187@yahoo.com,+1-997-760-7001,Phoenix,AZ,USA,2022-02-24,53.0,Non-binary,B2C,3136,True
CUST00188,Jennifer,Garcia,user188@outlook.com,+1-654-881-2259,Charlotte,NC,USA,2022-08-27,38.0,Female,B2B,4337,True
CUST00189,David,Jones,user189@gmail.com,+1-455-216-1424,Austin,TX,USA,2023-09-11,41.0,Female,Wholesale,4088,False
CUST00190,Robert,Taylor,user190@yahoo.com,+1-656-319-5678,Dallas,TX,USA,2022-07-02,36.0,,B2C,1639,True
CUST00191,Linda,Williams,user191@outlook.com,+1-930-555-2438,Chicago,IL,USA,2022-07-30,28.0,Non-binary,B2C,2846,True
CUST00192,John,Taylor,user192@gmail.com,+1-926-817-3852,San Jose,CA,USA,2023-03-28,63.0,Non-binary,B2C,4167,True
CUST00193,John,Brown,user193@yahoo.com,+1-705-126-6912,San Antonio,TX,USA,2022-07-08,51.0,Non-binary,B2B,3828,True
CUST00194,Robert,Miller,user194@outlook.com,+1-934-836-8842,Chicago,IL,USA,2022-05-14,47.0,Prefer not to say,B2B,3354,True
CUST00195,David,Johnson,user195@gmail.com,+1-660-577-9476,Austin,TX,USA,2022-07-14,37.0,Non-binary,B2C,1051,True
CUST00196,William,Smith,user196@yahoo.com,+1-327-630-3507,Columbus,OH,USA,2022-07-20,27.0,Non-binary,B2C,1348,True
CUST00197,Jennifer,Wilson,user197@outlook.com,+1-490-966-2292,San Diego,CA,USA,2023-05-17,49.0,Non-binary,B2C,1608,True
CUST00198,Barbara,Wilson,user198@gmail.com,+1-295-614-3762,San Jose,CA,USA,2022-07-14,36.0,Female,B2C,1402,True
CUST00199,Mary,Smith,user199@yahoo.com,+1-856-889-5336,New York,NY,USA,2022-03-05,42.0,Female,B2C,4686,False
